Last updated: 2005-06-04
------------------------------------------------------------------------------
Package Name                            ppc                 x86                 
dev-embedded/pista                      N/A                 0.62b               
dev-embedded/sdcc                       N/A                 2.4.0               
dev-embedded/sdcc-cvs                   N/A                 2.4.0-r1            
dev-embedded/tigcc                      N/A                 0.95-r2             
dev-embedded/uisp                       N/A                 20040311            
dev-embedded/yapide                     N/A                 0.1                 
dev-haskell/happy                       N/A                 1.14                
dev-java/adaptx                         N/A                 0.9.13_p20041105    
dev-java/apple-java-extensions-bin      N/A                 1.2                 
dev-java/aspectj                        N/A                 1.2                 
dev-java/aterm-java                     N/A                 1.6                 
dev-java/blackdown-jdk                  1.3.1-r10           1.4.2.01-r2         
dev-java/blackdown-jre                  1.3.1-r9            1.4.2.01-r1         
dev-java/bluej-bin                      N/A                 1.3.5               
dev-java/c3p0                           N/A                 0.8.5_pre9          
dev-java/cglib                          N/A                 2.0.2               
dev-java/classworlds                    N/A                 1.0-r2              
dev-java/colt                           N/A                 1.1.0               
dev-java/commons-betwixt                N/A                 0.6-r1              
dev-java/commons-daemon                 N/A                 1.0                 
dev-java/commons-el                     N/A                 1.0                 
dev-java/commons-io                     N/A                 1.0                 
dev-java/commons-jexl                   N/A                 1.0                 
dev-java/commons-launcher               N/A                 0.9                 
dev-java/commons-pool                   1.1                 1.2                 
dev-java/commons-validator              N/A                 1.0.2-r5            
dev-java/concurrent-util                N/A                 1.3.4               
dev-java/connectorj                     N/A                 3.0.16              
dev-java/cryptix                        N/A                 3.2.0               
dev-java/cryptix-asn1-bin               N/A                 20011119            
dev-java/cryptix-jce-bin                N/A                 20030217            
dev-java/datavision-bin                 N/A                 0.8.1-r1            
dev-java/dtdparser                      N/A                 1.21                
dev-java/exolabtools                    N/A                 1.0_p20050205       
dev-java/fop                            N/A                 0.20.5-r1           
dev-java/htmlparser                     N/A                 1.5.20040728        
dev-java/iso-relax                      N/A                 20041111            
dev-java/jacl                           N/A                 1.3.1               
dev-java/jai-bin                        N/A                 1.1.2.01            
dev-java/jasmin-sable                   N/A                 1.2.7               
dev-java/java-config                    1.2.9               1.2.11              
dev-java/java-getopt                    1.0.9               1.0.10              
dev-java/java-gnome                     N/A                 0.8.3               
dev-java/javacup                        N/A                 0.10k               
dev-java/javamake-bin                   N/A                 1.3.2               
dev-java/javassist                      N/A                 2.6                 
dev-java/jaxen                          N/A                 1.1_beta2-r1        
dev-java/jcalendar                      N/A                 1.2.2               
dev-java/jcifs                          N/A                 1.1.5               
dev-java/jcmdline                       N/A                 1.0.2               
dev-java/jdbc-informix                  221-r4              221-r5              
dev-java/jdbc3-oracle                   N/A                 9.2.0.3             
dev-java/jdbm                           N/A                 0.12                
dev-java/jdepend                        2.6-r1              2.8.1               
dev-java/jdictrayapi                    N/A                 0.8.7               
dev-java/jdom                           N/A                 1.0_beta10-r3       
dev-java/jexcelapi                      N/A                 2.5.1               
dev-java/jgoodies-animation             N/A                 1.1.3               
dev-java/jgraph                         N/A                 3.2                 
dev-java/jgroups                        N/A                 2.2.7               
dev-java/jimi                           N/A                 1.0                 
dev-java/jjtraveler                     N/A                 0.4.3               
dev-java/jmbus                          N/A                 1.0.7               
dev-java/jmf-bin                        N/A                 2.1.1e-r1           
dev-java/jrexx                          N/A                 1.1.1               
dev-java/jswat                          1.7.1-r1            2.21-r1             
dev-java/jsx                            N/A                 1.0.7.5             
dev-java/jtds                           N/A                 0.9.1               
dev-java/jump                           N/A                 0.4.1-r1            
dev-java/kaffe                          N/A                 1.1.4               
dev-java/kunststoff                     N/A                 2.0.2               
dev-java/libgtk-java                    N/A                 2.4.9               
dev-java/lucene                         N/A                 1.4.1               
dev-java/makeme                         N/A                 0.02-r2             
dev-java/metadata-extractor             N/A                 2.2.2               
dev-java/mg4j                           N/A                 0.9.1               
dev-java/openjgraph                     N/A                 0.9.2               
dev-java/oscore-bin                     N/A                 2.2.4               
dev-java/proxool                        N/A                 0.8.3               
dev-java/puretls                        N/A                 0.94_beta4          
dev-java/saxon-bin                      6.5.3               8.0b                
dev-java/saxpath                        N/A                 1.0                 
dev-java/shared-objects                 N/A                 1.4                 
dev-java/sun-dsml-bin                   N/A                 2.1.2_pre1          
dev-java/sun-jai-bin                    N/A                 1.1.2.01            
dev-java/sun-jimi                       N/A                 1.0                 
dev-java/tagunit                        N/A                 1.0.1               
dev-java/trove                          N/A                 1.0.2               
dev-java/violinstrings                  N/A                 1.0.2               
dev-java/webgraph                       N/A                 1.4                 
dev-java/wsdl4j                         N/A                 1.4                 
dev-java/xalan                          2.6.0               2.6.0-r2            
dev-java/xdoclet                        N/A                 1.2.1               
dev-java/xerces                         2.6.2-r1            2.6.2-r2            
dev-java/xjavac                         N/A                 20041208            
dev-java/xml-commons                    N/A                 1.0_beta2           
dev-java/xml-commons-resolver           N/A                 1.1                 
dev-java/xml-xmlbeans                   N/A                 20041217            
dev-java/xmlrpc                         N/A                 1.2_beta1           
dev-java/xmlunit                        N/A                 1.0                 
dev-java/xp                             N/A                 0.5                 
dev-java/xt                             N/A                 20020426a           
dev-lang/confluence                     N/A                 0.9.1               
dev-lang/gauche                         N/A                 0.8.3               
dev-lang/ghc-bin                        5.04.3              6.2                 
dev-lang/gprolog                        N/A                 1.2.16              
dev-lang/helium                         N/A                 1.2-r1              
dev-lang/hugs98                         N/A                 2003.11             
dev-lang/inform                         N/A                 6.21.4              
dev-lang/mmix                           N/A                 20020216            
dev-lang/mosml                          N/A                 2.01                
dev-lang/nqc                            N/A                 2.5.1               
dev-lang/smlnj                          N/A                 110.0.7             
dev-lang/spidermonkey                   N/A                 1.5_rc5             
dev-lang/stratego                       N/A                 0.12                
dev-lang/swi-prolog-lite                5.0.10              5.1.13              
dev-libs/argtable                       N/A                 2.4                 
dev-libs/cgilib                         N/A                 0.5                 
dev-libs/commonc++                      N/A                 1.9.7-r3            
dev-libs/crypto++                       N/A                 5.2.1               
dev-libs/dvnet                          0.9.4               0.9.11              
dev-libs/geoip                          1.3.6               1.3.10              
dev-libs/gmime                          2.1.9-r3            2.1.14              
dev-libs/hashit                         N/A                 0.9.3               
dev-libs/http-fetcher                   1.0.3               1.1.0               
dev-libs/iksemel                        N/A                 1.2                 
dev-libs/judy                           N/A                 20020627-r1         
dev-libs/libassetml                     N/A                 1.1                 
dev-libs/libcdio                        0.69                0.73                
dev-libs/libcoyotl                      N/A                 3.0.1               
dev-libs/libevocosm                     N/A                 2.5.2               
dev-libs/libksba                        N/A                 0.4.7               
dev-libs/libol                          0.3.14              0.3.15              
dev-libs/libpqxx                        N/A                 2.4.2               
dev-libs/libredblack                    N/A                 1.2                 
dev-libs/libsigc++                      2.0.5               2.0.11              
dev-libs/libtecla                       N/A                 1.6.0               
dev-libs/libtu-svn                      N/A                 20040902            
dev-libs/ntl                            N/A                 5.3                 
dev-libs/openssl                        0.9.7e              0.9.7e-r1           
dev-libs/sdf2-bundle                    N/A                 2.2                 
dev-libs/vanessa-adt                    N/A                 0.0.6               
dev-libs/vanessa-logger                 N/A                 0.0.6               
dev-libs/vdk                            N/A                 2.4.0               
dev-libs/xerces-c                       N/A                 2.6.0               
dev-lisp/cl-acl-compat                  N/A                 1.2.42.20050220     
dev-lisp/cl-anaphora                    N/A                 0.9.2               
dev-lisp/cl-araneida                    N/A                 0.9                 
dev-lisp/cl-arnesi                      N/A                 1.4.0_p5            
dev-lisp/cl-aserve                      N/A                 1.2.42.20050220     
dev-lisp/cl-aspectl                     N/A                 0.6.4               
dev-lisp/cl-awk                         N/A                 1-r1                
dev-lisp/cl-base64                      N/A                 3.3.1               
dev-lisp/cl-bayescl                     N/A                 20041121            
dev-lisp/cl-binary-types                N/A                 0.90                
dev-lisp/cl-blowfish                    N/A                 0.6                 
dev-lisp/cl-bouquet                     N/A                 0.1                 
dev-lisp/cl-cclan                       N/A                 1.86                
dev-lisp/cl-cells                       N/A                 20050511            
dev-lisp/cl-clx                         N/A                 0.7.0               
dev-lisp/cl-csv                         N/A                 1.8.1               
dev-lisp/cl-defsystem3                  N/A                 3.3i-r5             
dev-lisp/cl-diff                        N/A                 0.3                 
dev-lisp/cl-difflib                     N/A                 0.1                 
dev-lisp/cl-emb                         N/A                 0.3.1               
dev-lisp/cl-environment                 N/A                 1.0.20021105        
dev-lisp/cl-fad                         N/A                 0.3.1               
dev-lisp/cl-fare-matcher                N/A                 1.1-r1              
dev-lisp/cl-fiveam                      N/A                 1.2.3               
dev-lisp/cl-ftp                         N/A                 1.3.3               
dev-lisp/cl-gd                          N/A                 0.4.7               
dev-lisp/cl-getopt                      N/A                 1.1.0               
dev-lisp/cl-hello                       N/A                 0.2                 
dev-lisp/cl-html-diff                   N/A                 0.1                 
dev-lisp/cl-html-encode                 N/A                 1.0                 
dev-lisp/cl-html-template               N/A                 0.1.2-r1            
dev-lisp/cl-htmlgen                     N/A                 1.2.42.20050220     
dev-lisp/cl-hyperobject                 N/A                 2.8.8-r1            
dev-lisp/cl-inflate                     N/A                 1.1.4.2.1-r1        
dev-lisp/cl-interpol                    N/A                 0.1.2               
dev-lisp/cl-irc                         N/A                 0.7                 
dev-lisp/cl-irc-logger                  N/A                 0.9.2               
dev-lisp/cl-iterate                     N/A                 1.4                 
dev-lisp/cl-jpeg                        N/A                 1.033-r1            
dev-lisp/cl-kmrcl                       N/A                 1.82                
dev-lisp/cl-kr                          N/A                 2.3.4               
dev-lisp/cl-lexer                       N/A                 1-r1                
dev-lisp/cl-linedit                     N/A                 0.15.12             
dev-lisp/cl-lisp2wish                   N/A                 20040131            
dev-lisp/cl-lml                         N/A                 2.5.3               
dev-lisp/cl-lml2                        N/A                 1.5.3               
dev-lisp/cl-log4cl                      N/A                 20050421            
dev-lisp/cl-ltk                         N/A                 0.8.7               
dev-lisp/cl-mcclim                      N/A                 0.9.1               
dev-lisp/cl-md5                         N/A                 1.8.5               
dev-lisp/cl-memoization                 N/A                 20050302            
dev-lisp/cl-menusystem                  N/A                 20030919            
dev-lisp/cl-meta                        N/A                 0.1.2-r1            
dev-lisp/cl-modlisp                     N/A                 0.6                 
dev-lisp/cl-mt19937                     N/A                 1.1                 
dev-lisp/cl-ncurses                     N/A                 0.1.1               
dev-lisp/cl-net-telent-date             N/A                 0.4.1               
dev-lisp/cl-odcl                        N/A                 1.3.5               
dev-lisp/cl-org-davep-cldict            N/A                 1.1                 
dev-lisp/cl-org-davep-dict              N/A                 2.3                 
dev-lisp/cl-org-davep-dictrepl          N/A                 2.2                 
dev-lisp/cl-org-davep-newsrc            N/A                 2.0                 
dev-lisp/cl-org-davep-nntp              N/A                 2.0                 
dev-lisp/cl-osicat                      N/A                 0.4.0               
dev-lisp/cl-packer                      N/A                 0.2                 
dev-lisp/cl-paip                        N/A                 1.0.2               
dev-lisp/cl-parse-number                N/A                 1.0-r1              
dev-lisp/cl-periodic-table              N/A                 1.0                 
dev-lisp/cl-pg                          N/A                 20050202            
dev-lisp/cl-pipes                       N/A                 1.2.1               
dev-lisp/cl-plus                        N/A                 1.0                 
dev-lisp/cl-png                         N/A                 0.4                 
dev-lisp/cl-port                        N/A                 1.0.1.2-r2          
dev-lisp/cl-postoffice                  N/A                 1.8.2.3             
dev-lisp/cl-ppcre                       N/A                 1.2.7               
dev-lisp/cl-prevalence                  N/A                 20040709            
dev-lisp/cl-psgraph                     N/A                 1.2                 
dev-lisp/cl-ptester                     N/A                 2.1.2               
dev-lisp/cl-puri                        N/A                 1.3.1.1             
dev-lisp/cl-pxmlutils                   N/A                 0.0.9-r2            
dev-lisp/cl-quick-arrays                N/A                 1.0-r1              
dev-lisp/cl-regex                       N/A                 1-r1                
dev-lisp/cl-resolver                    N/A                 0.7                 
dev-lisp/cl-rfc2388                     N/A                 0.9                 
dev-lisp/cl-rss                         N/A                 0.1.1               
dev-lisp/cl-rt                          N/A                 20040621            
dev-lisp/cl-s-xml                       N/A                 20050202            
dev-lisp/cl-s-xml-rpc                   N/A                 20040709            
dev-lisp/cl-salza                       N/A                 0.7.1               
dev-lisp/cl-sapaclisp                   N/A                 1.0a                
dev-lisp/cl-scribble                    N/A                 1.16.1              
dev-lisp/cl-sdl                         N/A                 0.2.2-r1            
dev-lisp/cl-series                      N/A                 2.2.8               
dev-lisp/cl-sha1                        N/A                 1.0-r1              
dev-lisp/cl-sql                         N/A                 3.1.10              
dev-lisp/cl-ssl                         N/A                 0.2.2004.01.04      
dev-lisp/cl-statistics                  N/A                 1.0.0.2-r1          
dev-lisp/cl-syslog                      N/A                 0.9.1-r1            
dev-lisp/cl-tbnl                        N/A                 0.5.5               
dev-lisp/cl-tclink                      N/A                 3.3.1-r1            
dev-lisp/cl-terminfo                    N/A                 1.3                 
dev-lisp/cl-trivial-http                N/A                 1.1                 
dev-lisp/cl-trivial-sockets             N/A                 0.2                 
dev-lisp/cl-ubf                         N/A                 0.2.1-r1            
dev-lisp/cl-uffi                        N/A                 1.4.37              
dev-lisp/cl-unit                        N/A                 1.3.1-r1            
dev-lisp/cl-url-rewrite                 N/A                 0.1.0               
dev-lisp/cl-utilities                   N/A                 1.0.2               
dev-lisp/cl-utils-kt                    N/A                 20050511            
dev-lisp/cl-who                         N/A                 0.5.0               
dev-lisp/cl-xlunit                      N/A                 0.6.2               
dev-lisp/cl-xml-emitter                 N/A                 1.0                 
dev-lisp/cl-xml-psychiatrist            N/A                 0.4                 
dev-lisp/cl-xmls                        N/A                 1.2                 
dev-lisp/cl-xmls-valid                  N/A                 0.1.0               
dev-lisp/cl-xptest                      N/A                 1.2.3-r1            
dev-lisp/cl-yacc                        N/A                 0.1                 
dev-lisp/cl-yaclml                      N/A                 0.5_p26             
dev-lisp/cl-yahoo                       N/A                 0.5                 
dev-lisp/cmucl-source                   N/A                 18e-r1              
dev-lisp/ecls                           N/A                 0.9f_p1             
dev-lisp/gcl                            N/A                 2.6.6               
dev-lisp/sbcl                           N/A                 0.9.1               
dev-ml/pxp                              N/A                 1.1.6               
dev-perl/Algorithm-Annotate             N/A                 0.10                
dev-perl/Archive-Rar                    N/A                 1.9                 
dev-perl/Array-Window                   N/A                 0.4                 
dev-perl/Authen-DigestMD5               N/A                 0.04                
